feature_i,feature_j,interaction_strength,index_i,index_j
Land Cover (Open Water),Vegetation Mode (Black spruce),0.0,17,33
Land Cover (Open Water),Vegetation Mode (Wetland tundra),0.0,17,35
Land Cover (Open Water),Vegetation Mode (Temperate rainforest),0.0,17,36
Land Cover (Evergreen Forest),Land Cover (Woody Wetlands),0.0,18,19
Land Cover (Evergreen Forest),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,18,20
Land Cover (Evergreen Forest),Land Cover (Emergent Herbaceous Wetlands),0.0,18,21
Land Cover (Evergreen Forest),Land Cover (Mixed Forest),0.0,18,22
Land Cover (Evergreen Forest),Land Cover (Deciduous Forest),0.0,18,23
Land Cover (Evergreen Forest),Land Cover (Cultivated Crops),0.0,18,24
Land Cover (Evergreen Forest),"Land Cover (Developed, Open Space)",0.0,18,25
Land Cover (Evergreen Forest),Land Cover (Grassland/Herbaceous),0.0,18,26
Land Cover (Evergreen Forest),Land Cover (Perennial Ice/Snow),0.0,18,27
Land Cover (Evergreen Forest),"Land Cover (Developed, Medium Intensity)",0.0,18,28
Land Cover (Evergreen Forest),Land Cover (Pasture/Hay),0.0,18,29
Land Cover (Evergreen Forest),Vegetation Mode (Shrub tundra),0.0,18,30
Land Cover (Evergreen Forest),Vegetation Mode (White spruce),0.0,18,31
Land Cover (Evergreen Forest),Vegetation Mode (Graminoid tundra),0.0,18,32
Land Cover (Evergreen Forest),Vegetation Mode (Black spruce),0.0,18,33
Land Cover (Evergreen Forest),Vegetation Mode (Deciduous forest),0.0,18,34
Land Cover (Evergreen Forest),Vegetation Mode (Wetland tundra),0.0,18,35
Land Cover (Evergreen Forest),Vegetation Mode (Temperate rainforest),0.0,18,36
Land Cover (Evergreen Forest),Soil Organic Carbon (0-30 cm),0.0,18,37
Land Cover (Evergreen Forest),Soil Organic Carbon (30-200 cm),0.0,18,38
Land Cover (Evergreen Forest),Nitrogen (30-200 cm),0.0,18,40
Land Cover (Evergreen Forest),Bulk Density (0-30 cm),0.0,18,41
Land Cover (Evergreen Forest),Sand (0-30 cm),0.0,18,43
Land Cover (Evergreen Forest),Sand (30-200 cm),0.0,18,44
Land Cover (Evergreen Forest),Silt (0-30 cm),0.0,18,45
Land Cover (Evergreen Forest),Silt (30-200 cm),0.0,18,46
Land Cover (Evergreen Forest),Clay (0-30 cm),0.0,18,47
Land Cover (Evergreen Forest),Clay (30-200 cm),0.0,18,48
Land Cover (Woody Wetlands),Land Cover (Barren Land (Rock/Sand/Clay)),0.0,19,20
Land Cover (Woody Wetlands),Land Cover (Mixed Forest),0.0,19,22
Land Cover (Woody Wetlands),Land Cover (Deciduous Forest),0.0,19,23
Land Cover (Woody Wetlands),Land Cover (Cultivated Crops),0.0,19,24
Land Cover (Woody Wetlands),"Land Cover (Developed, Open Space)",0.0,19,25
Land Cover (Woody Wetlands),Land Cover (Grassland/Herbaceous),0.0,19,26
Land Cover (Woody Wetlands),Land Cover (Perennial Ice/Snow),0.0,19,27
Land Cover (Woody Wetlands),"Land Cover (Developed, Medium Intensity)",0.0,19,28
Land Cover (Woody Wetlands),Land Cover (Pasture/Hay),0.0,19,29
Land Cover (Woody Wetlands),Vegetation Mode (Shrub tundra),0.0,19,30
Land Cover (Woody Wetlands),Vegetation Mode (White spruce),0.0,19,31
Land Cover (Woody Wetlands),Vegetation Mode (Black spruce),0.0,19,33
Land Cover (Woody Wetlands),Vegetation Mode (Deciduous forest),0.0,19,34
Land Cover (Woody Wetlands),Vegetation Mode (Wetland tundra),0.0,19,35
Land Cover (Woody Wetlands),Vegetation Mode (Temperate rainforest),0.0,19,36
Land Cover (Woody Wetlands),Soil Organic Carbon (30-200 cm),0.0,19,38
Land Cover (Woody Wetlands),Nitrogen (30-200 cm),0.0,19,40
Land Cover (Woody Wetlands),Bulk Density (0-30 cm),0.0,19,41
Land Cover (Woody Wetlands),Bulk Density (30-200 cm),0.0,19,42
Land Cover (Woody Wetlands),Sand (0-30 cm),0.0,19,43
Land Cover (Woody Wetlands),Silt (30-200 cm),0.0,19,46
Land Cover (Woody Wetlands),Clay (0-30 cm),0.0,19,47
Land Cover (Woody Wetlands),Clay (30-200 cm),0.0,19,48
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Emergent Herbaceous Wetlands),0.0,20,21
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Mixed Forest),0.0,20,22
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Deciduous Forest),0.0,20,23
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Cultivated Crops),0.0,20,24
Land Cover (Barren Land (Rock/Sand/Clay)),"Land Cover (Developed, Open Space)",0.0,20,25
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Grassland/Herbaceous),0.0,20,26
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Perennial Ice/Snow),0.0,20,27
Land Cover (Barren Land (Rock/Sand/Clay)),"Land Cover (Developed, Medium Intensity)",0.0,20,28
Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Pasture/Hay),0.0,20,29
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (Shrub tundra),0.0,20,30
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (White spruce),0.0,20,31
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (Graminoid tundra),0.0,20,32
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (Black spruce),0.0,20,33
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (Deciduous forest),0.0,20,34
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (Wetland tundra),0.0,20,35
Land Cover (Barren Land (Rock/Sand/Clay)),Vegetation Mode (Temperate rainforest),0.0,20,36
Land Cover (Barren Land (Rock/Sand/Clay)),Soil Organic Carbon (0-30 cm),0.0,20,37
Land Cover (Barren Land (Rock/Sand/Clay)),Soil Organic Carbon (30-200 cm),0.0,20,38
Land Cover (Barren Land (Rock/Sand/Clay)),Nitrogen (0-30 cm),0.0,20,39
Land Cover (Barren Land (Rock/Sand/Clay)),Nitrogen (30-200 cm),0.0,20,40
Land Cover (Barren Land (Rock/Sand/Clay)),Bulk Density (0-30 cm),0.0,20,41
Land Cover (Barren Land (Rock/Sand/Clay)),Bulk Density (30-200 cm),0.0,20,42
Land Cover (Barren Land (Rock/Sand/Clay)),Sand (0-30 cm),0.0,20,43
Land Cover (Barren Land (Rock/Sand/Clay)),Sand (30-200 cm),0.0,20,44
Land Cover (Barren Land (Rock/Sand/Clay)),Silt (0-30 cm),0.0,20,45
Land Cover (Barren Land (Rock/Sand/Clay)),Silt (30-200 cm),0.0,20,46
Land Cover (Barren Land (Rock/Sand/Clay)),Clay (0-30 cm),0.0,20,47
Land Cover (Barren Land (Rock/Sand/Clay)),Clay (30-200 cm),0.0,20,48
Land Cover (Emergent Herbaceous Wetlands),Land Cover (Mixed Forest),0.0,21,22
Land Cover (Emergent Herbaceous Wetlands),Land Cover (Deciduous Forest),0.0,21,23
Land Cover (Emergent Herbaceous Wetlands),Land Cover (Cultivated Crops),0.0,21,24
Land Cover (Emergent Herbaceous Wetlands),"Land Cover (Developed, Open Space)",0.0,21,25
Land Cover (Emergent Herbaceous Wetlands),Land Cover (Grassland/Herbaceous),0.0,21,26
Land Cover (Emergent Herbaceous Wetlands),Land Cover (Perennial Ice/Snow),0.0,21,27
Land Cover (Emergent Herbaceous Wetlands),"Land Cover (Developed, Medium Intensity)",0.0,21,28
Land Cover (Emergent Herbaceous Wetlands),Land Cover (Pasture/Hay),0.0,21,29
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (Shrub tundra),0.0,21,30
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (White spruce),0.0,21,31
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (Black spruce),0.0,21,33
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (Deciduous forest),0.0,21,34
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (Wetland tundra),0.0,21,35
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (Temperate rainforest),0.0,21,36
Land Cover (Mixed Forest),Land Cover (Deciduous Forest),0.0,22,23
Land Cover (Mixed Forest),Land Cover (Cultivated Crops),0.0,22,24
Land Cover (Mixed Forest),"Land Cover (Developed, Open Space)",0.0,22,25
Land Cover (Mixed Forest),Land Cover (Grassland/Herbaceous),0.0,22,26
Land Cover (Mixed Forest),Land Cover (Perennial Ice/Snow),0.0,22,27
Land Cover (Mixed Forest),"Land Cover (Developed, Medium Intensity)",0.0,22,28
Land Cover (Mixed Forest),Land Cover (Pasture/Hay),0.0,22,29
Land Cover (Mixed Forest),Vegetation Mode (Shrub tundra),0.0,22,30
Land Cover (Mixed Forest),Vegetation Mode (White spruce),0.0,22,31
Land Cover (Mixed Forest),Vegetation Mode (Graminoid tundra),0.0,22,32
Land Cover (Mixed Forest),Vegetation Mode (Black spruce),0.0,22,33
Land Cover (Mixed Forest),Vegetation Mode (Deciduous forest),0.0,22,34
Land Cover (Mixed Forest),Vegetation Mode (Wetland tundra),0.0,22,35
Land Cover (Mixed Forest),Vegetation Mode (Temperate rainforest),0.0,22,36
Land Cover (Mixed Forest),Soil Organic Carbon (0-30 cm),0.0,22,37
Land Cover (Mixed Forest),Soil Organic Carbon (30-200 cm),0.0,22,38
Land Cover (Mixed Forest),Nitrogen (0-30 cm),0.0,22,39
Land Cover (Mixed Forest),Nitrogen (30-200 cm),0.0,22,40
Land Cover (Mixed Forest),Bulk Density (0-30 cm),0.0,22,41
Land Cover (Mixed Forest),Bulk Density (30-200 cm),0.0,22,42
Land Cover (Mixed Forest),Sand (0-30 cm),0.0,22,43
Land Cover (Mixed Forest),Sand (30-200 cm),0.0,22,44
Land Cover (Mixed Forest),Silt (0-30 cm),0.0,22,45
Land Cover (Mixed Forest),Silt (30-200 cm),0.0,22,46
Land Cover (Mixed Forest),Clay (0-30 cm),0.0,22,47
Land Cover (Mixed Forest),Clay (30-200 cm),0.0,22,48
Land Cover (Deciduous Forest),Land Cover (Cultivated Crops),0.0,23,24
Land Cover (Deciduous Forest),"Land Cover (Developed, Open Space)",0.0,23,25
Land Cover (Deciduous Forest),Land Cover (Grassland/Herbaceous),0.0,23,26
Land Cover (Deciduous Forest),Land Cover (Perennial Ice/Snow),0.0,23,27
Land Cover (Deciduous Forest),"Land Cover (Developed, Medium Intensity)",0.0,23,28
Land Cover (Deciduous Forest),Land Cover (Pasture/Hay),0.0,23,29
Land Cover (Deciduous Forest),Vegetation Mode (Shrub tundra),0.0,23,30
Land Cover (Deciduous Forest),Vegetation Mode (White spruce),0.0,23,31
Land Cover (Deciduous Forest),Vegetation Mode (Graminoid tundra),0.0,23,32
Land Cover (Deciduous Forest),Vegetation Mode (Black spruce),0.0,23,33
Land Cover (Deciduous Forest),Vegetation Mode (Deciduous forest),0.0,23,34
Land Cover (Deciduous Forest),Vegetation Mode (Wetland tundra),0.0,23,35
Land Cover (Deciduous Forest),Vegetation Mode (Temperate rainforest),0.0,23,36
Land Cover (Deciduous Forest),Soil Organic Carbon (0-30 cm),0.0,23,37
Land Cover (Deciduous Forest),Soil Organic Carbon (30-200 cm),0.0,23,38
Land Cover (Deciduous Forest),Nitrogen (0-30 cm),0.0,23,39
Land Cover (Deciduous Forest),Nitrogen (30-200 cm),0.0,23,40
Land Cover (Deciduous Forest),Bulk Density (0-30 cm),0.0,23,41
Land Cover (Deciduous Forest),Bulk Density (30-200 cm),0.0,23,42
Land Cover (Deciduous Forest),Sand (0-30 cm),0.0,23,43
Land Cover (Deciduous Forest),Sand (30-200 cm),0.0,23,44
Land Cover (Deciduous Forest),Silt (0-30 cm),0.0,23,45
Land Cover (Deciduous Forest),Silt (30-200 cm),0.0,23,46
Land Cover (Deciduous Forest),Clay (0-30 cm),0.0,23,47
Land Cover (Deciduous Forest),Clay (30-200 cm),0.0,23,48
Land Cover (Cultivated Crops),"Land Cover (Developed, Open Space)",0.0,24,25
Land Cover (Cultivated Crops),Land Cover (Grassland/Herbaceous),0.0,24,26
Land Cover (Cultivated Crops),Land Cover (Perennial Ice/Snow),0.0,24,27
Land Cover (Cultivated Crops),"Land Cover (Developed, Medium Intensity)",0.0,24,28
Land Cover (Cultivated Crops),Land Cover (Pasture/Hay),0.0,24,29
Land Cover (Cultivated Crops),Vegetation Mode (Shrub tundra),0.0,24,30
Land Cover (Cultivated Crops),Vegetation Mode (White spruce),0.0,24,31
Land Cover (Cultivated Crops),Vegetation Mode (Graminoid tundra),0.0,24,32
Land Cover (Cultivated Crops),Vegetation Mode (Black spruce),0.0,24,33
Land Cover (Cultivated Crops),Vegetation Mode (Deciduous forest),0.0,24,34
Land Cover (Cultivated Crops),Vegetation Mode (Wetland tundra),0.0,24,35
Land Cover (Cultivated Crops),Vegetation Mode (Temperate rainforest),0.0,24,36
Land Cover (Cultivated Crops),Soil Organic Carbon (0-30 cm),0.0,24,37
Land Cover (Cultivated Crops),Soil Organic Carbon (30-200 cm),0.0,24,38
Land Cover (Cultivated Crops),Nitrogen (0-30 cm),0.0,24,39
Land Cover (Cultivated Crops),Nitrogen (30-200 cm),0.0,24,40
Land Cover (Cultivated Crops),Bulk Density (0-30 cm),0.0,24,41
Land Cover (Cultivated Crops),Bulk Density (30-200 cm),0.0,24,42
Land Cover (Cultivated Crops),Sand (0-30 cm),0.0,24,43
Land Cover (Cultivated Crops),Sand (30-200 cm),0.0,24,44
Land Cover (Cultivated Crops),Silt (0-30 cm),0.0,24,45
Land Cover (Cultivated Crops),Silt (30-200 cm),0.0,24,46
Land Cover (Cultivated Crops),Clay (0-30 cm),0.0,24,47
Land Cover (Cultivated Crops),Clay (30-200 cm),0.0,24,48
"Land Cover (Developed, Open Space)",Land Cover (Grassland/Herbaceous),0.0,25,26
"Land Cover (Developed, Open Space)",Land Cover (Perennial Ice/Snow),0.0,25,27
"Land Cover (Developed, Open Space)","Land Cover (Developed, Medium Intensity)",0.0,25,28
"Land Cover (Developed, Open Space)",Land Cover (Pasture/Hay),0.0,25,29
"Land Cover (Developed, Open Space)",Vegetation Mode (Shrub tundra),0.0,25,30
"Land Cover (Developed, Open Space)",Vegetation Mode (White spruce),0.0,25,31
"Land Cover (Developed, Open Space)",Vegetation Mode (Graminoid tundra),0.0,25,32
"Land Cover (Developed, Open Space)",Vegetation Mode (Black spruce),0.0,25,33
"Land Cover (Developed, Open Space)",Vegetation Mode (Deciduous forest),0.0,25,34
"Land Cover (Developed, Open Space)",Vegetation Mode (Wetland tundra),0.0,25,35
"Land Cover (Developed, Open Space)",Vegetation Mode (Temperate rainforest),0.0,25,36
"Land Cover (Developed, Open Space)",Soil Organic Carbon (0-30 cm),0.0,25,37
"Land Cover (Developed, Open Space)",Soil Organic Carbon (30-200 cm),0.0,25,38
"Land Cover (Developed, Open Space)",Nitrogen (0-30 cm),0.0,25,39
"Land Cover (Developed, Open Space)",Nitrogen (30-200 cm),0.0,25,40
"Land Cover (Developed, Open Space)",Bulk Density (0-30 cm),0.0,25,41
"Land Cover (Developed, Open Space)",Bulk Density (30-200 cm),0.0,25,42
"Land Cover (Developed, Open Space)",Sand (0-30 cm),0.0,25,43
"Land Cover (Developed, Open Space)",Sand (30-200 cm),0.0,25,44
"Land Cover (Developed, Open Space)",Silt (0-30 cm),0.0,25,45
"Land Cover (Developed, Open Space)",Silt (30-200 cm),0.0,25,46
"Land Cover (Developed, Open Space)",Clay (0-30 cm),0.0,25,47
"Land Cover (Developed, Open Space)",Clay (30-200 cm),0.0,25,48
Land Cover (Grassland/Herbaceous),Land Cover (Perennial Ice/Snow),0.0,26,27
Land Cover (Grassland/Herbaceous),"Land Cover (Developed, Medium Intensity)",0.0,26,28
Land Cover (Grassland/Herbaceous),Land Cover (Pasture/Hay),0.0,26,29
Land Cover (Grassland/Herbaceous),Vegetation Mode (Shrub tundra),0.0,26,30
Land Cover (Grassland/Herbaceous),Vegetation Mode (White spruce),0.0,26,31
Land Cover (Grassland/Herbaceous),Vegetation Mode (Graminoid tundra),0.0,26,32
Land Cover (Grassland/Herbaceous),Vegetation Mode (Black spruce),0.0,26,33
Land Cover (Grassland/Herbaceous),Vegetation Mode (Deciduous forest),0.0,26,34
Land Cover (Grassland/Herbaceous),Vegetation Mode (Wetland tundra),0.0,26,35
Land Cover (Grassland/Herbaceous),Vegetation Mode (Temperate rainforest),0.0,26,36
Land Cover (Grassland/Herbaceous),Soil Organic Carbon (0-30 cm),0.0,26,37
Land Cover (Grassland/Herbaceous),Soil Organic Carbon (30-200 cm),0.0,26,38
Land Cover (Grassland/Herbaceous),Nitrogen (0-30 cm),0.0,26,39
Land Cover (Grassland/Herbaceous),Nitrogen (30-200 cm),0.0,26,40
Land Cover (Grassland/Herbaceous),Bulk Density (0-30 cm),0.0,26,41
Land Cover (Grassland/Herbaceous),Bulk Density (30-200 cm),0.0,26,42
Land Cover (Grassland/Herbaceous),Sand (0-30 cm),0.0,26,43
Land Cover (Grassland/Herbaceous),Sand (30-200 cm),0.0,26,44
Land Cover (Grassland/Herbaceous),Silt (0-30 cm),0.0,26,45
Land Cover (Grassland/Herbaceous),Silt (30-200 cm),0.0,26,46
Land Cover (Grassland/Herbaceous),Clay (0-30 cm),0.0,26,47
Land Cover (Grassland/Herbaceous),Clay (30-200 cm),0.0,26,48
Land Cover (Perennial Ice/Snow),"Land Cover (Developed, Medium Intensity)",0.0,27,28
Land Cover (Perennial Ice/Snow),Land Cover (Pasture/Hay),0.0,27,29
Land Cover (Perennial Ice/Snow),Vegetation Mode (Shrub tundra),0.0,27,30
Land Cover (Perennial Ice/Snow),Vegetation Mode (White spruce),0.0,27,31
Land Cover (Perennial Ice/Snow),Vegetation Mode (Graminoid tundra),0.0,27,32
Land Cover (Perennial Ice/Snow),Vegetation Mode (Black spruce),0.0,27,33
Land Cover (Perennial Ice/Snow),Vegetation Mode (Deciduous forest),0.0,27,34
Land Cover (Perennial Ice/Snow),Vegetation Mode (Wetland tundra),0.0,27,35
Land Cover (Perennial Ice/Snow),Vegetation Mode (Temperate rainforest),0.0,27,36
Land Cover (Perennial Ice/Snow),Soil Organic Carbon (0-30 cm),0.0,27,37
Land Cover (Perennial Ice/Snow),Soil Organic Carbon (30-200 cm),0.0,27,38
Land Cover (Perennial Ice/Snow),Nitrogen (0-30 cm),0.0,27,39
Land Cover (Perennial Ice/Snow),Nitrogen (30-200 cm),0.0,27,40
Land Cover (Perennial Ice/Snow),Bulk Density (0-30 cm),0.0,27,41
Land Cover (Perennial Ice/Snow),Bulk Density (30-200 cm),0.0,27,42
Land Cover (Perennial Ice/Snow),Sand (0-30 cm),0.0,27,43
Land Cover (Perennial Ice/Snow),Sand (30-200 cm),0.0,27,44
Land Cover (Perennial Ice/Snow),Silt (0-30 cm),0.0,27,45
Land Cover (Perennial Ice/Snow),Silt (30-200 cm),0.0,27,46
Land Cover (Perennial Ice/Snow),Clay (0-30 cm),0.0,27,47
Land Cover (Perennial Ice/Snow),Clay (30-200 cm),0.0,27,48
"Land Cover (Developed, Medium Intensity)",Land Cover (Pasture/Hay),0.0,28,29
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (Shrub tundra),0.0,28,30
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (White spruce),0.0,28,31
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (Graminoid tundra),0.0,28,32
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (Black spruce),0.0,28,33
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (Deciduous forest),0.0,28,34
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (Wetland tundra),0.0,28,35
"Land Cover (Developed, Medium Intensity)",Vegetation Mode (Temperate rainforest),0.0,28,36
"Land Cover (Developed, Medium Intensity)",Soil Organic Carbon (0-30 cm),0.0,28,37
"Land Cover (Developed, Medium Intensity)",Soil Organic Carbon (30-200 cm),0.0,28,38
"Land Cover (Developed, Medium Intensity)",Nitrogen (0-30 cm),0.0,28,39
"Land Cover (Developed, Medium Intensity)",Nitrogen (30-200 cm),0.0,28,40
"Land Cover (Developed, Medium Intensity)",Bulk Density (0-30 cm),0.0,28,41
"Land Cover (Developed, Medium Intensity)",Bulk Density (30-200 cm),0.0,28,42
"Land Cover (Developed, Medium Intensity)",Sand (0-30 cm),0.0,28,43
"Land Cover (Developed, Medium Intensity)",Sand (30-200 cm),0.0,28,44
"Land Cover (Developed, Medium Intensity)",Silt (0-30 cm),0.0,28,45
"Land Cover (Developed, Medium Intensity)",Silt (30-200 cm),0.0,28,46
"Land Cover (Developed, Medium Intensity)",Clay (0-30 cm),0.0,28,47
"Land Cover (Developed, Medium Intensity)",Clay (30-200 cm),0.0,28,48
Land Cover (Pasture/Hay),Vegetation Mode (Shrub tundra),0.0,29,30
Land Cover (Pasture/Hay),Vegetation Mode (White spruce),0.0,29,31
Land Cover (Pasture/Hay),Vegetation Mode (Graminoid tundra),0.0,29,32
Land Cover (Pasture/Hay),Vegetation Mode (Black spruce),0.0,29,33
Land Cover (Pasture/Hay),Vegetation Mode (Deciduous forest),0.0,29,34
Land Cover (Pasture/Hay),Vegetation Mode (Wetland tundra),0.0,29,35
Land Cover (Pasture/Hay),Vegetation Mode (Temperate rainforest),0.0,29,36
Land Cover (Pasture/Hay),Soil Organic Carbon (0-30 cm),0.0,29,37
Land Cover (Pasture/Hay),Soil Organic Carbon (30-200 cm),0.0,29,38
Land Cover (Pasture/Hay),Nitrogen (0-30 cm),0.0,29,39
Land Cover (Pasture/Hay),Nitrogen (30-200 cm),0.0,29,40
Land Cover (Pasture/Hay),Bulk Density (0-30 cm),0.0,29,41
Land Cover (Pasture/Hay),Bulk Density (30-200 cm),0.0,29,42
Land Cover (Pasture/Hay),Sand (0-30 cm),0.0,29,43
Land Cover (Pasture/Hay),Sand (30-200 cm),0.0,29,44
Land Cover (Pasture/Hay),Silt (0-30 cm),0.0,29,45
Land Cover (Pasture/Hay),Silt (30-200 cm),0.0,29,46
Land Cover (Pasture/Hay),Clay (0-30 cm),0.0,29,47
Land Cover (Pasture/Hay),Clay (30-200 cm),0.0,29,48
Vegetation Mode (Shrub tundra),Vegetation Mode (White spruce),0.0,30,31
Vegetation Mode (Shrub tundra),Vegetation Mode (Black spruce),0.0,30,33
Vegetation Mode (Shrub tundra),Vegetation Mode (Deciduous forest),0.0,30,34
Vegetation Mode (Shrub tundra),Vegetation Mode (Wetland tundra),0.0,30,35
Vegetation Mode (Shrub tundra),Vegetation Mode (Temperate rainforest),0.0,30,36
Vegetation Mode (Shrub tundra),Soil Organic Carbon (0-30 cm),0.0,30,37
Vegetation Mode (Shrub tundra),Soil Organic Carbon (30-200 cm),0.0,30,38
Vegetation Mode (Shrub tundra),Nitrogen (0-30 cm),0.0,30,39
Vegetation Mode (Shrub tundra),Nitrogen (30-200 cm),0.0,30,40
Vegetation Mode (Shrub tundra),Bulk Density (0-30 cm),0.0,30,41
Vegetation Mode (Shrub tundra),Bulk Density (30-200 cm),0.0,30,42
Vegetation Mode (Shrub tundra),Sand (0-30 cm),0.0,30,43
Vegetation Mode (Shrub tundra),Silt (0-30 cm),0.0,30,45
Vegetation Mode (Shrub tundra),Silt (30-200 cm),0.0,30,46
Vegetation Mode (Shrub tundra),Clay (0-30 cm),0.0,30,47
Vegetation Mode (Shrub tundra),Clay (30-200 cm),0.0,30,48
Vegetation Mode (White spruce),Vegetation Mode (Graminoid tundra),0.0,31,32
Vegetation Mode (White spruce),Vegetation Mode (Black spruce),0.0,31,33
Vegetation Mode (White spruce),Vegetation Mode (Deciduous forest),0.0,31,34
Vegetation Mode (White spruce),Vegetation Mode (Wetland tundra),0.0,31,35
Vegetation Mode (White spruce),Vegetation Mode (Temperate rainforest),0.0,31,36
Vegetation Mode (White spruce),Soil Organic Carbon (0-30 cm),0.0,31,37
Vegetation Mode (White spruce),Soil Organic Carbon (30-200 cm),0.0,31,38
Vegetation Mode (White spruce),Nitrogen (0-30 cm),0.0,31,39
Vegetation Mode (White spruce),Nitrogen (30-200 cm),0.0,31,40
Vegetation Mode (White spruce),Bulk Density (0-30 cm),0.0,31,41
Vegetation Mode (White spruce),Bulk Density (30-200 cm),0.0,31,42
Vegetation Mode (White spruce),Sand (0-30 cm),0.0,31,43
Vegetation Mode (White spruce),Sand (30-200 cm),0.0,31,44
Vegetation Mode (White spruce),Silt (0-30 cm),0.0,31,45
Vegetation Mode (White spruce),Silt (30-200 cm),0.0,31,46
Vegetation Mode (White spruce),Clay (0-30 cm),0.0,31,47
Vegetation Mode (White spruce),Clay (30-200 cm),0.0,31,48
Vegetation Mode (Graminoid tundra),Vegetation Mode (Black spruce),0.0,32,33
Vegetation Mode (Graminoid tundra),Vegetation Mode (Wetland tundra),0.0,32,35
Vegetation Mode (Graminoid tundra),Vegetation Mode (Temperate rainforest),0.0,32,36
Vegetation Mode (Graminoid tundra),Sand (0-30 cm),0.0,32,43
Vegetation Mode (Graminoid tundra),Silt (30-200 cm),0.0,32,46
Vegetation Mode (Black spruce),Vegetation Mode (Deciduous forest),0.0,33,34
Vegetation Mode (Black spruce),Vegetation Mode (Wetland tundra),0.0,33,35
Vegetation Mode (Black spruce),Vegetation Mode (Temperate rainforest),0.0,33,36
Vegetation Mode (Black spruce),Soil Organic Carbon (0-30 cm),0.0,33,37
Vegetation Mode (Black spruce),Soil Organic Carbon (30-200 cm),0.0,33,38
Vegetation Mode (Black spruce),Nitrogen (0-30 cm),0.0,33,39
Vegetation Mode (Black spruce),Nitrogen (30-200 cm),0.0,33,40
Vegetation Mode (Black spruce),Bulk Density (0-30 cm),0.0,33,41
Vegetation Mode (Black spruce),Bulk Density (30-200 cm),0.0,33,42
Vegetation Mode (Black spruce),Sand (0-30 cm),0.0,33,43
Vegetation Mode (Black spruce),Sand (30-200 cm),0.0,33,44
Vegetation Mode (Black spruce),Silt (0-30 cm),0.0,33,45
Vegetation Mode (Black spruce),Silt (30-200 cm),0.0,33,46
Vegetation Mode (Black spruce),Clay (0-30 cm),0.0,33,47
Vegetation Mode (Black spruce),Clay (30-200 cm),0.0,33,48
Vegetation Mode (Deciduous forest),Vegetation Mode (Wetland tundra),0.0,34,35
Vegetation Mode (Deciduous forest),Vegetation Mode (Temperate rainforest),0.0,34,36
Vegetation Mode (Deciduous forest),Soil Organic Carbon (0-30 cm),0.0,34,37
Vegetation Mode (Deciduous forest),Soil Organic Carbon (30-200 cm),0.0,34,38
Vegetation Mode (Deciduous forest),Nitrogen (0-30 cm),0.0,34,39
Vegetation Mode (Deciduous forest),Nitrogen (30-200 cm),0.0,34,40
Vegetation Mode (Deciduous forest),Bulk Density (0-30 cm),0.0,34,41
Vegetation Mode (Deciduous forest),Bulk Density (30-200 cm),0.0,34,42
Vegetation Mode (Deciduous forest),Sand (0-30 cm),0.0,34,43
Vegetation Mode (Deciduous forest),Sand (30-200 cm),0.0,34,44
Vegetation Mode (Deciduous forest),Silt (0-30 cm),0.0,34,45
Vegetation Mode (Deciduous forest),Silt (30-200 cm),0.0,34,46
Vegetation Mode (Deciduous forest),Clay (0-30 cm),0.0,34,47
Vegetation Mode (Deciduous forest),Clay (30-200 cm),0.0,34,48
Vegetation Mode (Wetland tundra),Vegetation Mode (Temperate rainforest),0.0,35,36
Vegetation Mode (Wetland tundra),Soil Organic Carbon (0-30 cm),0.0,35,37
Vegetation Mode (Wetland tundra),Soil Organic Carbon (30-200 cm),0.0,35,38
Vegetation Mode (Wetland tundra),Nitrogen (0-30 cm),0.0,35,39
Vegetation Mode (Wetland tundra),Nitrogen (30-200 cm),0.0,35,40
Vegetation Mode (Wetland tundra),Bulk Density (0-30 cm),0.0,35,41
Vegetation Mode (Wetland tundra),Bulk Density (30-200 cm),0.0,35,42
